epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6341.33,0.93231,0.68811,0.95451,0.76732,0.70822,0.78215,0.55383,1.00247,0.81137,0.99718,0.0011882,0.0011882,0.0011882
43,6492.25,0.93587,0.69351,0.95216,0.77741,0.70288,0.78778,0.56998,0.96172,0.78821,0.97722,0.0011684,0.0011684,0.0011684
44,6643.08,0.91428,0.6838,0.94661,0.78765,0.70668,0.79085,0.56806,0.96701,0.77787,0.98662,0.0011486,0.0011486,0.0011486
45,6793.91,0.91393,0.67992,0.9458,0.78042,0.71602,0.79643,0.57201,0.97339,0.77401,0.98752,0.0011288,0.0011288,0.0011288
46,6944.86,0.90798,0.66921,0.94636,0.77954,0.7203,0.79366,0.56834,0.96596,0.76339,0.98393,0.001109,0.001109,0.001109
47,7095.93,0.90576,0.67137,0.93712,0.78518,0.7108,0.78944,0.56385,0.97724,0.76266,0.98962,0.0010892,0.0010892,0.0010892
48,7247.08,0.89908,0.65833,0.94017,0.79422,0.69931,0.79121,0.56371,0.98269,0.76719,0.99377,0.0010694,0.0010694,0.0010694
49,7397.98,0.89452,0.65491,0.94254,0.78101,0.7162,0.79101,0.56968,0.96354,0.76493,0.98706,0.0010496,0.0010496,0.0010496
50,7549.1,0.91152,0.66274,0.94155,0.77332,0.72077,0.79046,0.56702,0.97894,0.76546,0.99054,0.0010298,0.0010298,0.0010298
51,7700.27,0.90332,0.65806,0.9366,0.77828,0.72062,0.79709,0.57477,0.97298,0.75594,0.98394,0.00101,0.00101,0.00101
52,7851.35,0.88128,0.64318,0.93519,0.776,0.72822,0.79664,0.5702,0.97772,0.75129,0.98423,0.0009902,0.0009902,0.0009902
53,8002.24,0.89254,0.65109,0.93517,0.79433,0.71207,0.79289,0.56434,0.97836,0.77007,0.99126,0.0009704,0.0009704,0.0009704
54,8153.22,0.8836,0.63837,0.93495,0.76526,0.72696,0.79403,0.56249,0.99586,0.78041,0.9966,0.0009506,0.0009506,0.0009506
55,8304.26,0.88703,0.63676,0.93037,0.78093,0.73899,0.80316,0.57882,0.97208,0.74517,0.98797,0.0009308,0.0009308,0.0009308
56,8455.18,0.87894,0.63322,0.93344,0.7986,0.70838,0.79412,0.57359,0.96459,0.75563,0.97938,0.000911,0.000911,0.000911
